product_id,product_names,sale_offs,sales_prices,origin_prices,purchases,num_raters,ratings,categories_str,category_id,name_len,category_len
48,Áo khoác nam cổ phối nút PA - Xám,0.39,229000,375000,197,1,80,Áo khoác,0,33,8
49,Áo khoác nam cổ trụ phong cách - Đen,0.39,255000,418000,600,34,80,Áo khoác,0,36,8
50,Áo khoác nam mã vạch thời trang - Đen,0.43,295000,518000,182,2,80,Áo khoác,0,37,8
51,Áo khoác bomber nam nữ phong cách - Xanh rêu,0.38,260000,419000,276,1,80,Áo khoác,0,44,8
52,Áo khoác kaki nam nữ hai khoá kéo thời trang - Xanh đen,0.42,269000,464000,326,6,87,Áo khoác,0,55,8
53,Áo khoác dù nam nút bấm in chữ cá tính - Đen,0.4,210000,350000,216,7,83,Áo khoác,0,44,8
54,Áo khoác dù nam Sportwear nam tính - Đen,0.27,319000,437000,182,1,80,Áo khoác,0,40,8
55,Áo khoác kaki bomber Jacket Unisex thời trang - Xanh lính,0.43,295000,518000,292,1,80,Áo khoác,0,57,8
56,Áo khoác kaki nam sang trọng - Đen,0.35,226000,350000,478,13,80,Áo khoác,0,34,8
57,Áo khoác dù nam nữ phối màu thời trang - Xanh dương,0.4,345000,575000,292,2,80,Áo khoác,0,51,8
58,Áo khoác dù nam nữ 2 lớp chuyển đổi - Đỏ,0.3,245000,350000,600,46,80,Áo khoác,0,40,8
59,Áo khoác dù nam phối nón mạnh mẽ - Xanh dương,0.37,245000,390000,193,1,80,Áo khoác,0,45,8
60,Áo khoác dù nam phối màu sành điệu - Đen,0.34,339000,514000,276,2,80,Áo khoác,0,40,8
61,Áo khoác da nam lịch lãm - Đen,0.26,245000,331000,226,6,80,Áo khoác,0,30,8
62,Áo khoác nam mã vạch thời trang - Xanh rêu,0.3,245000,350000,460,7,80,Áo khoác,0,42,8
63,Áo khoác kaki nam Jacket viền túi - Xanh ngọc,0.43,295000,518000,182,2,80,Áo khoác,0,45,8
64,Áo khoác dù nam nữ 2 lớp chuyển đổi - Xanh đen,0.27,175000,240000,155,1,80,Áo khoác,0,46,8
65,Áo khoác kaki bomber Jacket Unisex thời trang - Trắng,0.5,296000,590000,284,1,80,Áo khoác,0,53,8
66,Áo khoác dù nam phối nón mạnh mẽ - Tím,0.4,205000,340000,383,5,80,Áo khoác,0,38,8
67,Áo khoác kaki bomber Jacket Unisex thời trang - Xám,0.37,270000,429000,276,1,80,Áo khoác,0,51,8
68,Áo khoác kaki nam phối viền màu - Xanh đen,0.27,319000,437000,182,1,80,Áo khoác,0,42,8
69,Áo hoodie nam nữ LOVE trẻ trung - Xám,0.3,245000,350000,433,12,82,Áo khoác,0,37,8
70,Áo khoác kaki nam phối da vai - Vàng nghệ,0.38,260000,419000,276,1,80,Áo khoác,0,41,8
71,Áo khoác kaki nam nữ phối khóa sành điệu - Xanh rêu,0.3,145000,207000,276,1,80,Áo khoác,0,51,8
72,Áo khoác kaki Bomber nam nữ sành điệu - Xanh rêu,0.3,245000,350000,600,46,80,Áo khoác,0,48,8
73,Áo khoác kaki nam nữ phối khóa sành điệu - Da bò,0.43,295000,518000,292,1,80,Áo khoác,0,48,8
74,Áo khoác dù nam nữ 2 lớp chuyển đổi - Xanh lá,0.24,190000,250000,523,17,82,Áo khoác,0,45,8
75,Áo khoác kaki nam in chữ phong cách - Xanh đen,0.4,205000,340000,383,5,80,Áo khoác,0,46,8
76,Áo khoác kaki nam nữ kiểu dáng thời trang - Đen,0.3,150000,214000,406,1,80,Áo khoác,0,47,8
77,Áo khoác dù nam BW cá tính - Đen,0.3,245000,350000,600,46,80,Áo khoác,0,32,8
78,Áo khoác dù nam Black simple - Đen,0.31,140000,203000,416,10,82,Áo khoác,0,34,8
79,Áo khoác kaki nam bo lai - Xanh rêu,0.38,260000,419000,276,1,80,Áo khoác,0,35,8
80,Áo khoác kaki nam Jacket viền túi - Xanh rêu,0.43,295000,518000,282,1,80,Áo khoác,0,44,8
81,Áo khoác kaki Bomber nam nữ sành điệu - Xanh,0.3,245000,350000,460,7,80,Áo khoác,0,44,8
82,Áo khoác bóng chày nam Black White - Trắng,0.38,260000,419000,276,1,80,Áo khoác,0,42,8
83,Áo khoác dù nam nút bấm in chữ cá tính - Xám,0.43,295000,518000,292,1,80,Áo khoác,0,44,8
84,Áo khoác kaki bomber Jacket Unisex thời trang - Đen,0.4,345000,575000,292,2,80,Áo khoác,0,51,8
85,Áo khoác kaki nam nữ kiểu dáng thời trang - Xanh đen,0.39,358000,587000,262,2,80,Áo khoác,0,52,8
86,Áo khoác dù nam lính phong cách - Xám,0.35,226000,350000,478,13,80,Áo khoác,0,37,8
87,Áo khoác kaki nam in chữ phong cách - Xanh lính,0.35,226000,350000,478,13,80,Áo khoác,0,47,8
88,Áo khoác kaki nam bo lai - Kem,0.3,245000,350000,433,12,82,Áo khoác,0,30,8
89,Áo khoác dù nam nữ phong cách - Đen,0.29,219000,308000,278,3,87,Áo khoác,0,35,8
90,Áo khoác dù nam nút bấm in chữ cá tính - Xanh đen,0.3,249000,356000,413,8,83,Áo khoác,0,49,8
91,Áo khoác nam mã vạch thời trang - Đỏ đô,0.42,269000,464000,326,6,87,Áo khoác,0,39,8
92,Áo khoác kaki bomber Jacket Unisex thời trang - Xanh đen,0.4,205000,340000,383,5,80,Áo khoác,0,56,8
93,Áo khoác kaki nam nữ phối khóa sành điệu - Nâu,0.29,237000,334000,286,1,80,Áo khoác,0,46,8
94,Áo khoác nam Benplay Fashion - Xanh dương,0.31,239000,346000,424,10,82,Áo khoác,0,41,8
95,Áo khoác nỉ nam phối màu PA - Đen,0.38,260000,419000,276,1,80,Áo khoác,0,33,8
96,Áo khoác nam nữ bóng chày cá tính - Xanh đen,0.38,174000,281000,361,8,80,Áo khoác,0,44,8
97,Áo khoác kaki nam phối màu - Kem,0.35,208000,320000,278,1,80,Áo khoác,0,32,8
98,Áo khoác nỉ nam phối sọc năng động - Xám,0.36,145000,227000,451,2,80,Áo khoác,0,40,8
99,Áo khoác kaki nam tay phối sọc - Kem,0.39,278000,456000,353,9,80,Áo khoác,0,36,8
100,Áo khoác nam nữ bóng chày cá tính - Đen,0.38,174000,281000,361,8,80,Áo khoác,0,39,8
101,Áo khoác nam black S.Boss - Đen,0.589674683,159000,489000,240,1,80,Áo khoác,0,31,8
102,Áo khoác kaki nam tay phối sọc - Đỏ đô,0.39,278000,456000,353,9,80,Áo khoác,0,38,8
103,Áo khoác dù nam phối sọc phong cách - Xanh rêu,0.39,258000,423000,248,5,80,Áo khoác,0,46,8
104,Áo khoác dù nam nữ Sport - Xanh đen,0.25,216000,288000,383,1,80,Áo khoác,0,35,8
105,Áo khoác kaki nam 2 lớp cá tính - Đen,0.29,278000,392000,339,15,81,Áo khoác,0,37,8
106,Áo khoác dù nam phối logo thời trang - Đen,0.38,208000,335000,600,63,80,Áo khoác,0,42,8
107,Áo khoác nỉ nam phối sọc Gunner - Xám,0.31,150000,217000,255,7,80,Áo khoác,0,37,8
108,Áo khoác nam nữ số 72 - Đỏ đô,0.37,143000,227000,342,6,83,Áo khoác,0,29,8
109,Áo khoác nỉ nam nữ Division 92 - Đen,0.4,275000,458000,240,1,80,Áo khoác,0,36,8
110,Áo khoác cặp tay dài phối nút - Xanh dương,0.24,283000,372000,363,32,81,Áo khoác,0,42,8
111,Áo khoác nam nữ số 72 - Xanh dương,0.37,143000,227000,342,6,83,Áo khoác,0,34,8
112,Áo khoác nỉ nam Black Fashion - Đen,0.35,210000,323000,563,21,82,Áo khoác,0,35,8
113,Áo khoác jean nam phong cách - Xanh dương,0.39,287000,470000,600,62,81,Áo khoác,0,41,8
114,Áo khoác jean nam phong cách - Xanh đen,0.39,287000,470000,600,62,81,Áo khoác,0,39,8
115,Áo khoác cặp tay dài phối nút - Đỏ,0.24,283000,372000,363,32,81,Áo khoác,0,34,8
116,Áo khoác dù thể thao nam nữ - Xanh đen,0.37,200000,317000,254,3,80,Áo khoác,0,38,8
117,Áo khoác dù nam phối logo thời trang - Xanh đen,0.38,208000,335000,600,63,80,Áo khoác,0,47,8
118,Áo khoác nỉ nam Gray Fashion - Xám,0.36,170000,266000,322,4,80,Áo khoác,0,34,8
119,Áo khoác nam 2 dây kéo thời trang - Xám,0.37,212000,337000,540,24,80,Áo khoác,0,39,8
120,Áo khoác nỉ phối da cao cấp - Đen,0.29,217000,306000,258,1,80,Áo khoác,0,33,8
121,Áo khoác dù nam phối sọc phong cách - Xanh dương,0.39,258000,423000,248,5,80,Áo khoác,0,48,8
122,Áo khoác kaki nam Clam - Nâu,0.25,260000,347000,600,45,80,Áo khoác,0,28,8
123,Áo khoác nỉ nam phối màu thời trang - Xám,0.37,200000,317000,315,1,80,Áo khoác,0,41,8
124,Áo khoác dù nam Faster lịch lãm - Xanh dương,0.31,200000,290000,352,3,80,Áo khoác,0,44,8
125,Áo khoác nam nữ Boy Flowers - Đen,0.38,203000,327000,600,50,81,Áo khoác,0,33,8
126,Áo khoác nam nữ lông vũ - Xanh đen,0.37,170000,270000,382,5,80,Áo khoác,0,34,8
127,Áo khoác kaki nam 2 lớp cá tính - Đỏ,0.29,278000,392000,339,15,81,Áo khoác,0,36,8
128,Áo khoác kaki nam Clam - Xanh rêu,0.25,260000,347000,600,45,80,Áo khoác,0,33,8
129,Áo khoác kaki nam phối màu - Xanh đen,0.35,208000,320000,278,1,80,Áo khoác,0,37,8
130,Áo khoác kaki nam tay phối sọc - Đen,0.39,278000,456000,353,9,80,Áo khoác,0,36,8
131,Áo khoác nam nữ bóng chày cá tính - Đỏ đô,0.38,174000,281000,361,8,80,Áo khoác,0,41,8
132,Áo khoác dù nam nữ thời trang - Xanh đen,0.22,275000,353000,271,1,80,Áo khoác,0,40,8
133,Áo khoác dù thể thao nam nữ - Xanh lá,0.37,200000,317000,254,3,80,Áo khoác,0,37,8
134,Áo khoác nam thời trang - Đỏ đô,0.38,218000,352000,278,1,100,Áo khoác,0,31,8
135,Áo khoác kaki nam phối da sành điệu - Xanh rêu,0.42,283000,488000,263,1,80,Áo khoác,0,46,8
136,Áo khoác dù nam Faster lịch lãm - Xanh đen,0.31,200000,290000,352,3,80,Áo khoác,0,42,8
137,Áo khoác nam thời trang - Đen,0.38,218000,352000,278,1,100,Áo khoác,0,29,8
138,Áo khoác phao nam nữ thu đông - Xanh dương,0.36,437000,683000,265,1,80,Áo khoác,0,42,8
139,Áo khoác kaki nam giả vest thanh lịch - Đen,0.42,287000,495000,520,21,80,Áo khoác,0,43,8
140,Áo khoác cặp tay dài phối nút - Trắng,0.24,283000,372000,363,32,81,Áo khoác,0,37,8
141,Áo khoác dù thể thao nam nữ - Kem,0.37,200000,317000,254,3,80,Áo khoác,0,33,8
142,Áo khoác nam thời trang - Xanh,0.38,218000,352000,278,1,100,Áo khoác,0,30,8
143,Áo khoác da nam S.Boss phong cách - Đen,0.54,520000,1083000,301,16,80,Áo khoác,0,39,8
144,Áo khoác nỉ nam PA thời trang - Xám đậm,0.28,350000,486000,600,33,80,Áo khoác,0,39,8
145,Áo khoác nam phối màu King - Đen,0.4,175000,292000,199,1,80,Áo khoác,0,32,8
146,Áo khoác nam/nữ K.Style - Xanh dương,0.38,185000,298000,426,1,80,Áo khoác,0,36,8
147,Áo khoác kaki nam Station - Đen,0.33,155000,231000,516,2,80,Áo khoác,0,31,8
148,Áo khoác nam nữ sành điệu - Đỏ,0.4,175000,292000,600,163,80,Áo khoác,0,30,8
149,Áo khoác nam nữ London - Đen,0.37,167000,265000,402,21,81,Áo khoác,0,28,8
150,Áo khoác da nam Rank - Đen,0.38,185000,298000,426,1,80,Áo khoác,0,26,8
151,Áo khoác dù nam Andy thể thao - Xanh đen,0.34,513000,777000,319,12,80,Áo khoác,0,40,8
152,Áo khoác dù nam 2 mặt da cá - Xám,0.38,185000,298000,426,1,80,Áo khoác,0,33,8
153,Áo khoác nỉ nam SM - Đen,0.35,195000,300000,600,162,80,Áo khoác,0,24,8
154,Áo khoác nam phối màu King - Đỏ,0.36,165000,258000,347,3,80,Áo khoác,0,31,8
155,Áo khoác dù nam Fast & Furious - Đen,0.4,270000,450000,313,15,80,Áo khoác,0,36,8
156,Áo khoác nam nữ classic fashion - Xám,0.41,183000,310000,461,12,83,Áo khoác,0,37,8
157,Áo khoác da Thunder - Đen,0.41,206000,349000,387,2,80,Áo khoác,0,25,8
158,Áo khoác nỉ nam Pro - Đen,0.36,220000,344000,548,32,81,Áo khoác,0,25,8
159,Áo khoác cặp Lammi - Đen,0.4,275000,458000,356,2,80,Áo khoác,0,24,8
160,Áo khoác dù nam nữ new york - Trắng,0.34,150000,227000,257,4,80,Áo khoác,0,35,8
161,Áo khoác dù nam Andy thể thao - Xanh lá,0.4,267000,445000,600,188,80,Áo khoác,0,39,8
162,Áo khoác dù nam 2 mặt sọc dark Blue - Đỏ,0.36,220000,344000,548,32,81,Áo khoác,0,40,8
163,Áo khoác nỉ nam phối túi Gray - Đen,0.39,150000,246000,600,7,80,Áo khoác,0,35,8
164,Áo khoác nam nữ sành điệu - Xanh dương,0.4,175000,292000,600,163,80,Áo khoác,0,38,8
165,Áo khoác dù nam 2 mặt sọc dark Blue - Xám,0.41,183000,310000,461,12,83,Áo khoác,0,41,8
166,Áo khoác nỉ nam phối viền tay - Xám,0.589674683,95000,323000,504,14,80,Áo khoác,0,35,8
167,Áo khoác dù nam 2 mặt da cá - Đỏ,0.589674683,95000,323000,600,29,80,Áo khoác,0,32,8
168,Áo khoác dù nam 2 mặt da cá - Xanh,0.36,220000,344000,548,32,81,Áo khoác,0,34,8
169,Áo khoác dù nam Andy thể thao - Xanh rêu,0.4,175000,292000,600,163,80,Áo khoác,0,40,8
170,Áo khoác dù nam chống nước Patent - Đen,0.589674683,95000,323000,600,29,80,Áo khoác,0,41,8
171,Áo khoác nam nữ London - Đỏ,0.35,165000,254000,354,2,80,Áo khoác,0,27,8
172,Áo khoác nam nữ 2015 - Xanh đen,0.31,213000,309000,569,11,80,Áo khoác,0,31,8
173,Áo khoác dù nam chống nước Patent - Xanh đen,0.39,215000,352000,142,1,80,Áo khoác,0,46,8
174,Áo khoác nỉ nam phối sọc Yellow - Đen,0.42,170000,293000,600,24,81,Áo khoác,0,37,8
175,Áo khoác nỉ nam PA thời trang - Xám,0.31,213000,309000,569,11,80,Áo khoác,0,35,8
176,Áo khoác dù nam nữ Monster - Đen,0.41,206000,349000,387,2,80,Áo khoác,0,32,8
177,Áo khoác dù nam Andy thể thao - Xanh dương,0.39,150000,246000,593,6,80,Áo khoác,0,42,8
178,Áo khoác dù nam 2 mặt trơn Gray - Xám,0.4,150000,250000,600,70,80,Áo khoác,0,37,8
179,Áo khoác đôi thời trang Vz - Đỏ,0.42,170000,293000,600,24,81,Áo khoác,0,31,8
180,Áo khoác nam/nữ K.Style - Xanh đen,0.33,155000,231000,516,2,80,Áo khoác,0,34,8
181,Áo khoác dù nam nữ thể thao - Xanh đen,0.39,150000,246000,593,6,80,Áo khoác,0,38,8
182,Áo khoác nỉ nam SM - Xám,0.38,185000,298000,426,1,80,Áo khoác,0,24,8
183,Áo khoác đôi thời trang Vz - Xám,0.4,175000,292000,600,163,80,Áo khoác,0,32,8
184,Áo khoác nỉ nam phối viền tay - Đen,0.4,270000,450000,313,15,80,Áo khoác,0,35,8
185,Áo khoác nam phối màu King - Xanh,0.36,170000,266000,566,15,80,Áo khoác,0,33,8
186,Áo khoác nam/nữ ấn tượng - Xám,0.4,175000,292000,199,1,80,Áo khoác,0,30,8
187,Áo khoác dù nam 2 mặt sọc Blue - Xanh dương,0.35,238000,366000,364,13,82,Áo khoác,0,43,8
188,Áo khoác nỉ nam Pro - Xám,0.39,150000,246000,600,7,80,Áo khoác,0,25,8
189,Áo khoác dù nam 2 mặt da cá - Xanh đen,0.36,170000,266000,566,15,80,Áo khoác,0,38,8
190,Áo khoác dù nam nữ thể thao - Xanh lá,0.36,250000,391000,363,1,80,Áo khoác,0,37,8
191,Áo khoác nam nữ classic fashion - Xanh đen,0.4,150000,250000,600,70,80,Áo khoác,0,42,8
192,Áo khoác Kaki bomber nam họa tiết vân cá sấu - Xanh đen,0.5,240000,480000,291,1,80,Áo khoác,0,55,8
193,Áo khoác nỉ nam Frog - Cam,0.43,295000,518000,181,1,80,Áo khoác,0,26,8
194,Áo khoác nam cổ chui Tattoo - Đen,0.27,319000,437000,204,1,80,Áo khoác,0,33,8
195,Áo khoác dù phối nón thời trang - Xám,0.29,295000,415000,280,2,80,Áo khoác,0,37,8
196,Áo khoác nỉ nam Viking - Xám,0.33,160000,239000,600,39,81,Áo khoác,0,28,8
197,Áo khoác nam xỏ ngón dây kéo đỏ - Xanh đen,0.42,175000,300000,600,59,80,Áo khoác,0,42,8
198,Áo khoác nỉ unisex thời trang - Xanh đen,0.33,160000,239000,600,39,81,Áo khoác,0,40,8
199,Áo khoác dù nam phối caro phong cách - Đen,0.4,129000,215000,297,3,80,Áo khoác,0,42,8
200,Áo khoác kaki nam hàn quốc - Xanh rêu,0.43,228000,400000,600,515,85,Áo khoác,0,37,8
201,Áo khoác da nam Benplay - Đen,0.41,165000,280000,600,96,83,Áo khoác,0,29,8
202,Áo khoác dù cá tính - Xanh dương,0.36,179000,280000,600,21,85,Áo khoác,0,32,8
203,Áo khoác nỉ nam Frog - Xanh dương,0.36,179000,279000,273,2,80,Áo khoác,0,33,8
204,Áo khoác kaki nam giả vest Tony - Xanh đen,0.4,150000,250000,600,31,80,Áo khoác,0,42,8
205,Áo khoác dù nam phối caro phong cách - Xám,0.31,269000,389000,600,4,80,Áo khoác,0,42,8
206,Áo khoác kaki Bomber nam cá tính - Xám,0.31,269000,389000,600,4,80,Áo khoác,0,38,8
207,Áo khoác kaki Bomber nam cá tính - Nâu,0.46,275000,509000,600,106,83,Áo khoác,0,38,8
208,Áo khoác bomber sắc đen cực chất - Đen,0.3,175000,250000,486,8,80,Áo khoác,0,38,8
209,Áo khoác dù Onymax sành điệu - Xám,0.35,190000,292000,481,6,80,Áo khoác,0,34,8
210,Áo khoác dù phối nón thời trang - Xanh đen,0.5,240000,480000,291,1,80,Áo khoác,0,42,8
211,Áo khoác Bomber nam phối logo năng động - Nâu,0.31,240000,350000,339,7,80,Áo khoác,0,45,8
212,Áo khoác nỉ nam AL thời trang - Xanh đen,0.34,250000,380000,232,1,80,Áo khoác,0,40,8
213,Áo khoác dù cá tính - Đỏ đô,0.29,295000,415000,280,2,80,Áo khoác,0,27,8
214,Áo khoác nỉ unisex thời trang - Xám,0.42,165000,284000,600,80,87,Áo khoác,0,35,8
215,Áo vest Blazer lịch lãm - Đen,0.35,190000,292000,481,6,80,Áo khoác,0,29,8
216,Áo khoác nỉ nam Vaser - Đen,0.43,295000,518000,181,1,80,Áo khoác,0,27,8
217,Áo khoác kaki nam phong cách - Xanh rêu,0.36,179000,280000,600,21,85,Áo khoác,0,39,8
218,Áo khoác nỉ unisex thời trang - Xanh,0.31,240000,350000,339,7,80,Áo khoác,0,36,8
219,Áo khoác dù cá tính - Xám,0.36,179000,279000,600,33,80,Áo khoác,0,25,8
220,Áo khoác nỉ nam The horse Fast - Xanh đen,0.31,240000,350000,443,15,80,Áo khoác,0,41,8
221,Áo khoác nam cổ chui Tattoo - Xám,0.43,295000,518000,221,1,80,Áo khoác,0,33,8
222,Áo khoác nam xỏ ngón phối nón - Xám,0.33,160000,239000,600,39,81,Áo khoác,0,35,8
223,Áo khoác nỉ nam The horse Fast - Xanh dương,0.56,299000,682000,566,7,80,Áo khoác,0,43,8
224,Áo vest Blazer lịch lãm - Xám,0.42,165000,284000,600,80,87,Áo khoác,0,29,8
225,Áo khoác kaki nam phong cách - Xanh đen,0.4,150000,250000,600,31,80,Áo khoác,0,39,8
226,Áo khoác dù nam phối màu Lion King - Kem,0.33,160000,239000,600,39,81,Áo khoác,0,40,8
227,Áo khoác kaki 2 lớp boyfriend - Vàng,0.41,165000,280000,600,96,83,Áo khoác,0,36,8
228,Áo khoác nỉ nam The horse Fast - Xanh,0.325427822,252918.8976,539000,154,1,80,Áo khoác,0,37,8
229,Áo khoác dù nam phối màu Lion King - Nâu,0.31,269000,389000,600,4,80,Áo khoác,0,40,8
230,Áo khoác nỉ nam Haze - Đen,0.45,275000,500000,600,172,84,Áo khoác,0,26,8
231,Áo khoác nam kaki cổ đứng nút bấm nam tính - Xanh đen,0.42,175000,300000,600,59,80,Áo khoác,0,53,8
232,Áo khoác nỉ nam Viking - Đen,0.42,267000,460000,600,38,81,Áo khoác,0,28,8
233,Áo khoác Bomber nam phối logo năng động - Xanh,0.4,339000,565000,283,3,93,Áo khoác,0,46,8
234,Áo len nam tay dài Grey - Xám đậm,0.31,240000,350000,297,1,80,Áo khoác,0,33,8
235,Áo khoác dù cá tính - Đen,0.36,179000,280000,600,21,85,Áo khoác,0,25,8
236,Áo khoác jean nam mạnh mẽ - Xanh đen,0.4,200000,333000,600,18,80,Áo khoác,0,36,8
237,Áo khoác nam kaki phối dù Camel - Vàng,0.42,175000,300000,600,59,80,Áo khoác,0,38,8
238,Áo khoác nỉ nam Vaser - Xanh đen,0.43,295000,518000,221,1,80,Áo khoác,0,32,8
239,Áo khoác dù nam phối màu Lion King - Xanh đen,0.4,339000,565000,283,3,93,Áo khoác,0,45,8
240,Áo sơ mi nam Việt Tây 119-120 - Xanh,0.325427822,252918.8976,310000,214,1,80,Áo sơ mi,1,36,8
241,Áo sơ mi nam họa tiết - Đỏ,0.325427822,252918.8976,310000,208,1,80,Áo sơ mi,1,26,8
242,Áo sơ mi nam tay ngắn họa tiết - Xanh đen,0.49,139000,270000,233,2,80,Áo sơ mi,1,41,8
243,Áo sơ mi nam tay ngắn kẻ ngang - Xanh dương,0.325427822,252918.8976,349000,236,1,80,Áo sơ mi,1,43,8
244,Áo sơ mi nam Mốt Trẻ lịch lãm ATD031 - Xám đen,0.39,170000,279000,410,2,80,Áo sơ mi,1,46,8
245,Áo sơ mi nam Mốt Trẻ BBD077 - Tím,0.3,220000,314000,261,1,80,Áo sơ mi,1,33,8
